DateTime,AddedIPs,RemovedIPs
1584670921,80,80
1584671521,80,80
1584672121,80,80
1584673321,79,79
1584673921,66,66
1584674522,80,80
1584675122,80,80
1584675721,80,80
1584676321,79,79
1584677521,80,80
1584678121,80,80
1584679322,80,80
1584679921,80,80
1584680521,80,80
1584681721,80,80
1584682321,23,23
1584682921,79,79
1584684121,79,79
1584685322,80,80
1584685921,79,79
1584686521,80,80
1584687721,80,80
1584688921,80,80
1584690121,78,78
1584691321,80,80
1584691921,80,80
1584692521,80,80
1584694321,78,78
1584694921,78,78
1584696121,80,80
1584696721,80,80
1584697921,76,76
1584698521,80,80
1584699121,80,80
1584699722,80,80
1584700321,80,80
1584701521,80,80
1584702121,80,80
1584703922,72,72
1584704521,80,80
1584706321,80,80
1584706921,80,80
1584707521,78,78
1584708121,80,80
1584708721,80,80
1584709321,80,80
1584710522,80,80
1584711121,80,80
1584711721,80,80
1584712321,80,80
1584712922,80,80
1584714121,80,80
1584714721,80,80
1584715321,80,80
1584716522,80,80
1584717721,74,74
1584718921,80,80
1584720121,69,69
1584720721,80,80
1584721922,79,79
1584722521,80,80
1584723722,80,80
1584724321,80,80
1584724921,80,80
1584725521,80,80
1584726121,80,80
1584726721,80,80
1584727321,80,80
1584728521,74,74
1584729121,80,80
1584729721,77,77
1584730321,80,80
1584731522,80,80
1584732121,80,80
1584732721,80,80
1584733921,79,79
1584734521,80,80
1584735721,79,79
1584736321,80,80
1584736921,80,80
1584738121,76,76
1584739322,79,79
1584739921,80,80
1584741121,79,79
1584741721,80,80
1584742321,80,80
1584742921,79,79
1584743522,80,80
1584744121,80,80
1584745321,80,80
1584746522,79,79
1584747122,79,79
1584747722,80,80
1584748922,80,80
1584749521,80,80
1584750121,80,80
1584750722,80,80
1584751921,80,80
1584752521,80,80
1584753721,80,80
1584754322,80,80
1584754922,80,80
1584756121,80,80
1584757321,75,75
1584757921,80,80
1584759121,79,79
1584759721,80,80
1584760921,80,80
1584761522,80,80
1584762122,80,80
1584763321,80,80
1584764521,78,78
1584765122,80,80
1584765721,80,80
1584766322,79,79
1584768121,79,79
1584768721,80,80
1584769321,80,80
1584770521,80,80
1584771122,21,21
1584771721,80,80
1584772921,79,79
1584774122,80,80
1584774722,79,79
1584775321,79,79
1584775921,80,80
1584777121,80,80
1584777721,80,80
1584778921,80,80
1584779521,80,80
1584780121,80,80
1584780721,80,80
1584781321,80,80
1584781921,80,80
1584782521,80,80
1584783122,80,80
1584783721,80,80
1584784321,80,80
1584784922,80,80
1584785521,80,80
1584786122,80,80
1584786721,80,80
1584787321,80,80
1584787921,40,40
1584788522,80,80
1584789121,80,80
1584789722,80,80
