DateTime,AddedIPs,RemovedIPs
1584491788,23,673
1584493958,19,654
1584495856,18,551
1584497780,28,531
1584499763,16,623
1584501693,23,591
1584503603,22,1414
1584505469,23,141
1584507371,19,111
1584509290,95,33
1584512175,45,172
1584514141,28,184
1584516009,72,119
1584517937,22,95
1584519889,40,98
1584521771,21,60
1584523692,26,122
1584526601,49,177
1584528514,30,99
1584530442,23,108
1584532338,19,103
1584534278,68,95
1584536184,34,40
1584538103,18,17
1584540168,28,36
1584542187,25,126
1584544110,19,161
1584546016,25,186
1584547953,24,99
1584550034,19,157
1584551893,31,47
1584553696,27,23
1584555635,38,84
1584557560,25,347
1584559454,27,939
1584561397,27,1257
1584563293,28,432
1584565263,24,324
1584567150,33,371
1584569318,22,433
1584571222,2122,335
1584573134,2129,308
1584575084,1136,77
1584576978,22,78
1584578893,26,82
1584580827,30,123
1584582748,27,235
1584584655,24,57
1584586585,21,106
1584588491,24,182
1584591376,52,283
1584593311,31,71
1584595246,423,260
1584597131,3135,100
1584599050,26,226
1584600985,23,40
1584602895,30,25
1584605777,31,42
1584607708,7,27
1584609630,9,22
1584611533,21,22
1584613452,17,34
1584615387,799,29
1584617295,917,13
1584619282,1083,17
1584621152,269,54
1584623319,37,16
1584625221,19,18
1584627139,21,13
1584629069,37,15
1584630975,500,18
1584632896,822,18
1584634825,17,16
1584636750,20,7
1584638681,11,14
1584640590,14,29
1584642498,17,18
1584645382,65,23
1584647302,797,16
1584649224,586,21
1584651133,167,16
1584653081,16,14
1584654983,11,18
1584656928,11,1014
1584659783,18,2411
1584661705,12,739
1584663628,11,18
1584665551,12,24
1584667484,8,21
1584669384,9,24
1584671296,11,21
1584673380,8,21
1584675372,18,15
1584677572,17,14
1584679480,12,33
1584681400,89,153
1584683295,767,1299
1584685231,18,2160
1584687145,20,20
1584689061,22,23
1584691039,22,12
1584692899,20,18
1584695776,24,11
1584697708,33,17
1584699609,26,12
1584701544,29,816
1584703448,28,1179
1584705378,30,1390
1584707300,26,466
1584710190,26,62
1584712099,20,22
1584714037,12,29
1584715962,69,41
1584717862,19,1202
1584719793,32,655
1584721734,19,256
1584724574,42,404
1584726499,24,16
1584728424,28,20
1584730335,46,22
1584732252,42,357
1584734234,40,1259
1584736090,26,943
1584738123,36,85
1584739950,20,15
1584741870,29,17
1584743794,406,12
1584745712,1015,15
1584747612,1118,19
1584749787,154,16
1584751695,30,16
1584753626,31,9
1584755530,34,4
1584757455,39,16
1584759382,38,8
1584761294,36,18
1584763244,36,14
1584765146,30,18
1584767314,40,9
1584769229,832,365
1584771144,893,522
1584773064,630,40
1584775007,1111,28
1584776918,2040,20
1584778835,511,22
1584781005,427,19
1584782895,254,20
1584784908,183,33
1584786753,179,26
1584788914,251,29
