DateTime,AddedIPs,RemovedIPs
1584115812,31,20
1584117731,58,31
1584119649,47,29
1584121224,33,56
1584123249,14,17
1584124089,12,4
1584125769,30,44
1584126850,22,16
1584127692,10,15
1584129413,13,35
1584130451,30,24
1584132131,45,25
1584133814,24,22
1584135012,14,34
1584136510,24,13
1584137671,21,142
1584138912,27,170
1584140112,31,19
1584141251,34,15
1584142091,24,5
1584142934,13,23
1584144851,36,31
1584145691,12,2
1584147009,26,34
1584148177,17,20
1584149290,15,7
1584150589,25,38
1584152049,24,20
1584153626,33,42
1584155002,36,20
1584155650,11,0
1584157331,35,28
1584159015,20,30
1584160826,41,41
1584162851,29,45
1584164029,12,23
1584165219,18,3
1584166513,17,31
1584167711,17,36
1584168911,25,17
1584170050,12,14
1584171731,19,40
1584173419,28,28
1584174613,34,19
1584176161,34,19
1584177311,18,23
1584178931,22,71
1584180611,23,44
1584182532,32,73
1584183634,12,40
1584184815,13,0
1584186130,20,78
1584186970,14,1
1584188111,17,21
1584189310,27,36
1584191412,36,52
1584193332,29,77
1584195019,21,18
1584196931,32,107
1584197772,18,9
1584198912,18,48
1584200112,15,39
1584201368,17,9
1584202515,18,18
1584204133,31,30
1584205819,27,23
1584207171,20,24
1584208397,18,8
1584209712,26,15
1584210492,9,3
1584211663,41,29
1584213011,35,27
1584214175,13,36
1584215709,33,10
1584216899,14,10
1584217691,20,6
1584219370,33,30
1584225414,82,63
1584226568,16,38
1584227651,16,20
1584228909,22,21
1584230169,24,5
1584231249,20,12
1584232093,14,1
1584232930,12,27
1584234613,18,14
1584235690,24,1
1584236920,19,37
1584238217,0,3390
1584239413,3398,0
1584240613,42,6
1584241811,11,15
1584242892,12,0
1584245049,33,42
1584245651,14,0
1584246882,24,45
1584249019,47,21
1584250930,29,31
1584251772,11,2
1584252848,15,26
1584253691,23,1
1584256449,38,53
1584257283,0,3455
1584260049,3445,0
1584261728,40,44
1584262573,15,0
1584263651,23,14
1584264489,14,1
1584265622,16,34
1584267012,19,19
1584268215,36,19
1584269709,20,11
1584270910,20,20
1584272532,21,39
1584274452,18,221
1584276133,38,38
1584277814,27,29
1584279732,23,35
1584281649,24,24
1584282491,14,7
1584284113,23,47
1584285253,19,24
1584286510,13,41
1584287709,19,15
1584288849,17,37
1584290109,20,32
1584291311,24,19
1584292449,15,7
1584293289,15,7
1584294537,25,34
1584295235,18,20
1584296412,15,0
1584297729,27,28
1584299412,23,12
1584300613,15,55
1584301758,12,13
1584303249,12,18
1584304091,20,3
1584305409,18,31
1584306614,23,23
1584306848,9,0
1584308531,15,45
1584309370,15,4
1584310512,17,39
1584311290,24,5
1584312970,24,49
1584314112,15,17
1584314891,17,19
1584315730,22,32
1584316570,15,1
1584317711,16,25
1584318489,15,9
1584319332,21,29
1584320170,13,6
1584321245,0,3123
1584322092,3116,0
1584323414,27,45
1584324620,20,36
1584325817,29,26
1584327314,28,13
1584328454,16,9
1584330016,32,40
1584331815,33,40
1584332052,3,0
1584332895,14,0
1584333994,22,30
1584335376,21,19
1584336617,15,34
1584338176,28,4
1584339250,14,32
1584340926,0,3090
1584342853,3102,0
1584344416,25,48
1584346516,28,37
1584347712,28,22
1584349480,46,35
1584350054,9,0
1584350891,16,0
1584352328,37,35
1584353468,18,13
1584355335,44,32
1584357250,50,23
1584358091,13,14
1584359774,33,29
1584360915,19,25
1584362415,31,30
1584364454,40,33
1584365291,13,0
1584366784,15,35
1584368114,27,19
1584369740,30,39
1584370572,12,8
1584371718,17,10
1584372493,10,0
1584373338,11,44
1584374660,19,15
1584375968,7,0
1584376937,20,40
1584377771,12,9
1584378914,19,10
1584380114,22,29
1584381301,29,21
1584382513,10,29
1584384014,31,33
1584385462,21,28
1584386890,21,15
1584388533,26,39
1584389713,26,18
1584390914,25,23
1584392112,32,8
1584393251,32,6
1584394093,21,0
1584394932,11,29
1584396852,25,30
1584398415,41,16
1584400514,44,21
1584401290,10,27
1584402391,29,31
1584403814,32,17
1584405015,21,34
1584407412,86,26
1584409333,35,58
1584411254,41,19
1584412512,18,21
1584414041,28,31
1584415695,30,7
1584416533,15,32
1584418216,50,30
1584419290,15,2
1584420138,19,37
1584421821,32,24
1584423735,27,56
1584425653,37,18
1584427333,24,44
1584429252,50,19
1584430514,29,33
1584431681,27,27
1584432913,23,16
1584434535,43,41
1584435375,30,8
1584436514,17,17
1584438131,42,52
1584439814,26,17
1584440975,26,26
1584443419,62,30
1584445513,29,37
1584446438,7,14
1584447251,7,2
1584448092,17,2
1584448935,13,36
1584450852,33,36
1584452323,18,25
1584454453,30,19
1584455713,29,26
1584456911,28,18
1584458050,30,16
1584458892,15,0
1584459737,6,35
1584461414,19,31
1584463339,20,34
1584465250,25,33
1584466662,21,16
1584467934,12,22
1584468850,0,3299
1584470029,3317,0
1584471310,0,3317
1584472514,3328,0
1584473715,9,28
1584475079,21,16
1584476052,11,6
1584477615,22,28
1584478572,14,12
1584479653,17,17
1584480914,20,43
1584482111,25,7
1584483255,24,9
1584484093,12,4
1584485411,31,34
1584486855,16,28
1584487692,8,0
1584489012,20,29
1584490450,23,17
1584491291,13,0
1584492970,26,41
1584494113,20,12
1584494891,12,9
1584495733,18,34
1584497420,25,13
1584498490,19,14
1584499982,31,31
1584501266,32,17
1584502511,12,30
1584503714,16,13
1584504916,18,18
1584505697,13,0
1584507312,33,44
1584508514,19,11
1584510137,24,43
1584510970,10,0
1584512052,26,24
1584513313,18,35
1584515194,22,16
1584515652,7,0
1584516911,14,29
1584518500,30,45
1584519617,16,0
1584520816,24,29
1584521770,19,21
1584522917,18,21
1584523691,15,1
1584525375,26,49
1584526515,14,25
1584528015,31,32
1584530050,30,27
1584531312,26,19
1584533003,28,26
1584533654,14,0
1584535330,36,30
1584537252,29,13
1584538093,16,0
1584539411,21,31
1584540620,23,14
1584541696,20,7
1584544451,45,36
1584547481,42,35
1584548052,7,0
1584549615,28,41
1584551653,34,46
1584553333,38,30
1584554170,13,2
1584555250,10,14
1584556931,35,26
1584558126,18,32
1584559695,41,8
1584561012,26,26
1584562221,20,23
1584564136,42,44
1584565814,16,23
1584566992,14,38
1584568243,28,10
1584569413,16,30
1584570915,25,26
1584572594,27,43
1584574215,31,26
1584574931,15,22
1584576349,23,39
1584577512,22,1
1584578531,10,49
1584580455,32,28
1584582014,0,3323
1584583578,3301,0
1584584713,20,1
1584585732,15,35
1584587415,25,43
1584589334,41,44
1584591251,30,33
1584592934,22,47
1584594621,45,25
1584595818,23,34
1584598454,50,38
1584599292,17,12
1584600136,30,36
1584600970,26,5
1584602054,26,28
1584602893,18,0
1584603731,20,42
1584605652,31,24
1584606492,17,11
1584608112,31,54
1584609253,22,30
1584610933,20,43
1584611772,15,3
1584612914,19,19
1584613695,13,1
1584614532,15,49
1584616220,34,14
1584618132,31,27
1584618970,13,2
1584620114,24,27
1584621376,0,3267
1584622515,3279,0
1584623716,26,13
1584624913,20,25
1584626789,25,48
1584627928,14,3
1584629415,26,33
1584630616,27,23
1584631815,19,27
1584633373,24,6
1584634512,16,17
1584636134,39,30
1584638050,29,24
1584639616,27,27
1584640886,37,22
1584641654,18,0
1584643330,44,31
1584645251,28,24
1584646934,18,28
1584648117,16,12
1584649813,36,27
1584651371,13,15
1584652514,16,26
1584653292,12,11
1584654973,32,45
1584656115,16,14
1584657313,35,13
1584659420,28,41
1584660612,24,28
1584662171,29,15
1584663313,14,9
1584664094,10,11
1584665483,31,32
1584666850,21,19
1584668114,22,38
1584669313,17,11
1584670451,10,19
1584672137,31,53
1584674055,24,24
1584675914,27,45
1584677413,25,29
1584679331,39,42
1584681021,27,16
1584682689,30,39
1584683815,18,8
1584684855,13,26
1584685695,13,6
1584686542,17,34
1584687681,26,30
1584688815,17,3
1584690611,27,42
1584691820,20,17
1584693736,38,44
1584695651,34,21
1584697514,24,61
1584699253,34,25
1584700934,24,45
1584702853,24,31
1584703690,14,7
1584705423,22,51
1584706814,13,15
1584707295,6,12
1584709283,37,62
1584710893,20,8
1584711731,13,34
1584713420,23,12
1584715332,30,35
1584716172,10,10
1584717313,9,11
1584718090,9,15
1584718930,15,22
1584720853,23,18
1584722532,19,38
1584723370,6,5
1584724514,12,22
1584726013,10,23
1584727812,25,33
1584729733,50,59
1584731413,22,28
1584733337,21,49
1584735019,18,16
1584736090,14,6
1584738612,44,57
1584739813,13,28
1584742451,32,27
1584744131,30,35
1584746052,55,13
1584747311,16,39
1584748573,17,16
1584749714,9,12
1584750490,10,13
1584751332,18,22
1584753251,52,22
1584754812,28,32
1584756917,20,26
1584757693,12,9
1584758526,0,3077
1584759372,3059,0
1584760514,13,21
1584761291,5,17
1584762135,22,26
1584762972,17,8
1584764054,17,22
1584765243,21,38
1584766405,27,7
1584767713,19,22
1584769331,23,71
1584770173,12,1
1584771250,12,42
1584772932,22,37
1584774617,19,23
1584776532,24,32
1584778454,34,22
1584780134,28,29
1584781815,33,17
1584782891,8,9
1584784210,21,34
1584785651,22,17
1584786904,15,33
1584788436,17,33
1584789540,23,0
